"about ","preposition, adverb","əˈbaʊt ","Về"
"above ","preposition, adverb","əˈbʌv ","bên trên"
"across ","preposition, adverb","əˈkrɔs ","sang"
"action ","n","ˈækʃən ","hoạt động"
"activity ","n","ækˈtɪvəti ","hoạt động "
"actor ","n","ˈæktər ","diễn viên"
"actress ","n","ˈæktrəs ","nữ diễn viên"
"add ","verb","æd ","thêm vào"
"address ","n","ˈæˌdrɛs ","Địa chỉ"
"adult ","n","əˈdʌlt ","người lớn"
"advice ","n","ædˈvaɪs ","khuyên bảo"
"afraid ","adj","əˈfreɪd ","sợ"
"after ","preposition","ˈæftər ","sau đó"
"afternoon ","n","ˌæftərˈnun ","buổi chiều"
"again ","adverb","əˈɡɛn ","lại"
"age ","n","eɪʤ ","tuổi"
"ago ","adverb","əˈɡoʊ ","trước kia"
"agree ","verb","əˈɡri ","đồng ý"
"air ","n","ɛr ","không khí"
"airport ","n","ˈɛrˌpɔrt ","sân bay"
"all ","determiner, pron","ɔl ","tất cả"
"also ","adverb","ˈɔlsoʊ ","Mà còn"
"always ","adverb","ˈɔlˌweɪz ","luôn luôn"
"amazing ","adj","əˈmeɪzɪŋ ","tuyệt vời"
"and ","conj.","ænd ","Và"
"angry ","adj","ˈæŋɡri ","tức giận"
"animal ","n","ˈænəməl ","động vật"
"another ","determiner/pron.","əˈnʌðər ","khác"
"answer ","n, verb","ˈænsər ","trả lời"
"any ","determiner, pron","ˈɛni ","bất kì"
"anyone ","pron","ˈɛniˌwʌn ","bất cứ ai "
"anything ","pron","ˈɛniˌθɪŋ ","bất cứ điều gì"
"apartment ","n","əˈpɑrtmənt ","căn hộ"
"apple ","n","ˈæpəl ","quả táo"
"April ","n","ˈeɪprəl ","Tháng tư"
"area ","n","ˈɛriə ","khu vực"
"arm ","n","ɑrm ","cánh tay"
"around ","preposition, adverb","əˈraʊnd ","xung quanh"
"arrive ","verb","əˈraɪv ","đến"
"art ","n","ɑrt ","nghệ thuật"
"article ","n","ˈɑrtəkəl ","bài báo"
"artist ","n","ˈɑrtəst ","nghệ sĩ"
"as ","preposition","æz ","BẰNG"
"ask ","verb","æsk ","hỏi"
"at ","preposition","æt ","Tại"
"August ","n","ˈɑɡəst ","Tháng tám"
"aunt ","n","ænt ","dì"
"autumn ","n","ˈɔtəm ","mùa thu"
"away ","adverb","əˈweɪ ","xa"
"baby ","n","ˈbeɪbi ","Đứa bé"
"back ","n, adverb","bæk ","mặt sau"
"bad ","adj","bæd ","xấu"
"bag ","n","bæɡ ","cái túi"
"ball ","n","bɔl ","quả bóng"
"banana ","n","bəˈnænə ","chuối"
"band ","n","bænd ","ban nhạc"
"bank ","(money) n","bæŋk ","ngân hàng"
"bath ","n","bæθ ","bồn tắm"
"bathroom ","n","ˈbæˌθrum ","phòng tắm"
"be ","verb, auxiliary verb","bi ","là"
"beach ","n","biʧ ","bãi biển"
"beautiful ","adj","ˈbjutəfəl ","xinh đẹp"
"because ","conj.","bɪˈkɔz ","bởi vì"
"become ","verb","bɪˈkʌm ","trở nên"
"bed ","n","bɛd ","giường"
"bedroom ","n","ˈbɛˌdrum ","phòng ngủ"
"beer ","n","bɪr ","bia"
"before ","preposition","bɪˈfɔr ","trước"
"begin ","verb","bɪˈɡɪn ","bắt đầu"
"beginning ","n","bɪˈɡɪnɪŋ ","sự khởi đầu"
"behind ","preposition, adverb","bɪˈhaɪnd ","phía sau"
"believe ","verb","bɪˈliv ","tin tưởng"
"below ","adverb, preposition","bɪˈloʊ ","dưới"
"best ","adj","bɛst ","tốt nhất"
"better ","adj","ˈbɛtər ","tốt hơn"
"between ","preposition","bɪˈtwin ","giữa"
"bicycle ","n","ˈbaɪsɪkəl ","xe đạp"
"big ","adj","bɪɡ ","to lớn"
"bike ","n","baɪk ","xe đạp"
"bill ","n","bɪl ","hóa đơn"
"bird ","n","bɜrd ","chim"
"birthday ","n","ˈbɜrθˌdeɪ ","sinh nhật"
"black ","adj, n","blæk ","đen"
"blog ","n","blɔɡ ","Blog"
"blonde ","adj","blɑnd ","vàng"
"blue ","adj, n","blu ","màu xanh da trời"
"boat ","n","boʊt ","thuyền"
"body ","n","ˈbɑdi ","thân hình"
"book ","n","bʊk ","sách"
"boot ","n","but ","khởi động"
"bored ","adj","bɔrd ","chán"
"boring ","adj","ˈbɔrɪŋ ","nhạt nhẽo"
"born ","verb","bɔrn ","sinh ra"
"both ","determiner/pron.","boʊθ ","cả hai"
"bottle ","n","ˈbɑtəl ","cái chai"
"box ","n","bɑks ","hộp"
"boy ","n","bɔɪ ","con trai"
"boyfriend ","n","ˈbɔɪˌfrɛnd ","bạn trai"
"bread ","n","brɛd ","bánh mỳ"
"break ","verb, n","breɪk ","phá vỡ"
"breakfast ","n","ˈbrɛkfəst ","bữa sáng"
"bring ","verb","brɪŋ ","mang đến "
"brother ","n","ˈbrʌðər ","anh trai"
"brown ","adj, n","braʊn ","màu nâu"
"build ","verb","bɪld ","xây dựng"
"building ","n","ˈbɪldɪŋ ","xây dựng"
"bus ","n","bʌs ","xe buýt"
"business ","n","ˈbɪznəs ","việc kinh doanh"
"busy ","adj","ˈbɪzi ","bận"
"but ","conj.","bʌt ","Nhưng"
"butter ","n","ˈbʌtər ","bơ"
"buy ","verb","baɪ ","mua"
"by ","preposition","baɪ ","qua"
"bye ","exclam.","baɪ ","tạm biệt"
"cafe ","n","kəˈfeɪ ","quán cà phê"
"cake ","n","keɪk ","bánh ngọt"
"call ","verb, n","kɔl ","gọi "
"camera ","n","ˈkæmərə ","Máy ảnh"
"can1 ","modal verb","kæn1","can1"
"cannot ","modal verb","ˈkænɑt ","không thể"
"capital ","n, adj","ˈkæpətəl ","thủ đô"
"car ","n","kɑr ","xe hơi"
"card ","n","kɑrd ","Thẻ"
"career ","n","kəˈrɪr ","sự nghiệp"
"carrot ","n","ˈkærət ","cà rốt"
"carry ","verb","ˈkæri ","mang"
"cat ","n","kæt ","con mèo"
"CD ","n","ˈsiˈdi ","đĩa CD"
"cent ","n","sɛnt ","xu"
"centre ","n","ˈsɛntər ","trung tâm"
"century ","n","ˈsɛnʧəri ","thế kỷ"
"chair ","n","ʧɛr ","cái ghế"
"change ","verb, n","ʧeɪnʤ ","thay đổi"
"chart ","n","ʧɑrt ","đồ thị"
"cheap ","adj","ʧip ","rẻ"
"check ","verb","ʧɛk ","kiểm tra"
"cheese ","n","ʧiz ","phô mai"
"chicken ","n","ˈʧɪkən ","thịt gà"
"child ","n","ʧaɪld ","đứa trẻ"
"chocolate ","n","ˈʧɔklət ","sô cô la"
