"absolutely ","adv","ˌæbsəˈlutli ","tuyệt đối"
"academic ","adj","ˌækəˈdɛmɪk ","học thuật"
"access ","n, v","ˈækˌsɛs ","truy cập"
"accommodation ","n","əˌkɑməˈdeɪʃən ","chỗ ở"
"account ","n","əˈkaʊnt ","tài khoản"
"achievement ","n","əˈʧivmənt ","thành tích"
"act ","n","ækt ","hành động"
"ad ","n","æd ","quảng cáo"
"addition ","n","əˈdɪʃən ","phép cộng"
"admire ","v","ædˈmaɪr ","ngưỡng mộ"
"admit ","v","ədˈmɪt ","thừa nhận"
"advanced ","adj","ədˈvænst ","trình độ cao"
"advise ","v","ædˈvaɪz ","khuyên nhủ"
"afford ","v","əˈfɔrd ","đủ khả năng"
"age ","v","eɪʤ ","tuổi"
"aged ","adj","eɪʤd ","già"
"agent ","n","ˈeɪʤənt ","đại lý"
"agreement ","n","əˈɡrimənt ","hiệp định"
"ahead ","adv","əˈhɛd ","phía trước"
"aim ","v, n","eɪm ","mục tiêu"
"alarm ","n","əˈlɑrm ","báo thức"
"album ","n","ˈælbəm ","album"
"alcohol ","n","ˈælkəˌhɑl ","rượu bia"
"alcoholic ","adj","ˌælkəˈhɑlɪk ","kẻ nghiện rượu"
"alternative ","adj","ɔlˈtɜrnətɪv ","thay thế"
"amazed ","adj","əˈmeɪzd ","ngạc nhiên"
"ambition ","n","æmˈbɪʃən ","tham vọng "
"ambitious ","adj","æmˈbɪʃəs ","tham vọng"
"analyse ","v","analyse ","phân tích"
"analysis ","n","əˈnæləsəs ","Phân tích"
"announce ","v","əˈnaʊns ","thông báo"
"announcement ","n","əˈnaʊnsmənt ","thông báo"
"annoy ","v","əˈnɔɪ ","làm phiền"
"annoyed ","adj","əˈnɔɪd ","khó chịu"
"annoying ","adj","əˈnɔɪɪŋ ","khó chịu"
"apart ","adv","əˈpɑrt ","riêng biệt"
"apologize ","v","əˈpɑləˌʤaɪz ","xin lỗi"
"application ","n","ˌæpləˈkeɪʃən ","ứng dụng"
"appointment ","n","əˈpɔɪntmənt ","cuộc hẹn"
"appreciate ","v","əˈpriʃiˌeɪt ","đánh giá"
"approximately ","adv","əˈprɑksəmətli ","khoảng"
"arrest ","v, n","əˈrɛst ","bắt giữ"
"arrival ","n","əˈraɪvəl ","đến"
"assignment ","n","əˈsaɪnmənt ","phân công"
"assist ","v","əˈsɪst ","hỗ trợ"
"atmosphere ","n","ˈætməˌsfɪr ","bầu không khí"
"attach ","v","əˈtæʧ ","gắn"
"attitude ","n","ˈætəˌtud ","thái độ"
"attract ","v","əˈtrækt ","thu hút"
"attraction ","n","əˈtrækʃən ","sự thu hút"
"authority ","n","əˈθɔrəti ","thẩm quyền"
"average ","v","ˈævərɪʤ ","trung bình"
"award ","v","əˈwɔrd ","phần thưởng"
"aware ","adj","əˈwɛr ","nhận thức"
"backwards ","adv","ˈbækwərdz ","ngược"
"bake ","v","beɪk ","nướng"
"balance ","n, v","ˈbæləns ","THĂNG BẰNG"
"ban ","v, n","bæn ","lệnh cấm"
"bank ","(river) n","bæŋk ","ngân hàng"
"base ","n, v","beɪs ","căn cứ"
"basic ","adj","ˈbeɪsɪk ","nền tảng"
"basis ","n","ˈbeɪsəs ","nền tảng"
"battery ","n","ˈbætəri ","ắc quy"
"battle ","n","ˈbætəl ","trận đánh"
"beauty ","n","ˈbjuti ","sắc đẹp"
"bee ","n","bi ","con ong"
"belief ","n","bɪˈlif ","sự tin tưởng"
"bell ","n","bɛl ","chuông"
"bend ","v, n","bɛnd ","bẻ cong"
"benefit ","v","ˈbɛnəfɪt ","lợi ích"
"better ","n","ˈbɛtər ","tốt hơn"
"bite ","v, n","baɪt ","cắn"
"block ","n, v","blɑk ","khối"
"board ","v","bɔrd ","Cái bảng"
"bomb ","n, v","bɑm ","bom"
"border ","n","ˈbɔrdər ","ranh giới"
"bother ","v","ˈbɑðər ","làm phiền"
"branch ","n","brænʧ ","chi nhánh"
"brand ","n, v","brænd ","thương hiệu"
"brave ","adj","breɪv ","can đảm"
"breath ","n","brɛθ ","hơi thở"
"breathe ","v","brið ","thở"
"breathing ","n","ˈbriðɪŋ ","thở"
"bride ","n","braɪd ","cô dâu"
"bubble ","n","ˈbʌbəl ","bong bóng"
"bury ","v","ˈbɛri ","chôn"
"by ","adv","baɪ ","qua"
"calm ","adj, v, n","kɑm ","điềm tĩnh"
"campaign ","n, v","kæmˈpeɪn ","chiến dịch"
"campus ","n","ˈkæmpəs ","khuôn viên đại học"
"candidate ","n","ˈkændədeɪt ","ứng viên"
"cap ","n","kæp ","mũ lưỡi trai"
"captain ","n","ˈkæptən ","đội trưởng"
