"abolish ","v","əˈbɑlɪʃ ","bỏ"
"abortion ","n","əˈbɔrʃən ","sự phá thai"
"absence ","n","ˈæbsəns ","vắng mặt"
"absent ","adj","ˈæbsənt ","vắng mặt"
"absurd ","adj","əbˈsɜrd ","vô lý"
"abundance ","n","əˈbʌndəns ","sự phong phú"
"abuse ","n, v","əˈbjus ","lạm dụng"
"academy ","n","əˈkædəmi ","học viện"
"accelerate ","v","ækˈsɛləˌreɪt ","Thúc giục"
"acceptance ","n","ækˈsɛptəns ","chấp thuận"
"accessible ","adj","ækˈsɛsəbəl ","có thể truy cập"
"accomplishment ","n","əˈkɑmplɪʃmənt ","thành tựu"
"accordance ","n","əˈkɔrdəns ","Tùy theo"
"accordingly ","adv","əˈkɔrdɪŋli ","theo đó"
"accountability ","n","əˈkaʊntəbɪlɪti ","trách nhiệm giải trình"
"accountable ","adj","əˈkaʊntəbəl ","có trách nhiệm"
"accumulate ","v","əˈkjumjəˌleɪt ","tích trữ"
"accumulation ","n","əˌkjumjəˈleɪʃən ","tích lũy"
"accusation ","n","ˌækjəˈzeɪʃən ","buộc tội"
"accused ","n","əˈkjuzd ","bị buộc tội"
"acid ","adj","ˈæsəd ","axit"
"acquisition ","n","ˌækwəˈzɪʃən ","sự mua lại"
"acre ","n","ˈeɪkər ","mẫu Anh"
"activation ","n","ˌæktəˈveɪʃən ","kích hoạt"
"activist ","n","ˈæktəvəst ","nhà hoạt động"
"acute ","adj","əˈkjut ","nhọn"
"adaptation ","n","ˌædəpˈteɪʃən ","thích ứng"
"adhere ","v","ədˈhɪr ","tuân thủ"
"adjacent ","adj","əˈʤeɪsənt ","liền kề"
"adjustment ","n","əˈʤʌstmənt ","điều chỉnh"
"administer ","v","ədˈmɪnəstər ","Quản lý"
"administrative ","adj","ədˈmɪnəˌstreɪtɪv ","hành chính"
"administrator ","n","ədˈmɪnəˌstreɪtər ","người quản lý"
"admission ","n","ædˈmɪʃən ","nhận vào"
"adolescent ","n","ˌædəˈlɛsənt ","thanh niên"
"adoption ","n","əˈdɑpʃən ","nhận con nuôi"
"adverse ","adj","ædˈvɜrs ","bất lợi"
"advocate ","n, v","ˈædvəkət ","biện hộ"
"aesthetic ","adj","ɛˈsθɛtɪk ","thẩm mỹ"
"affection ","n","əˈfɛkʃən ","sự yêu mến"
"aftermath ","n","ˈæftərˌmæθ ","hậu quả"
"aggression ","n","əˈɡrɛʃən ","Hiếu chiến"
"agricultural ","adj","ˌæɡrəˈkʌlʧərəl ","nông nghiệp"
"aide ","n","eɪd ","phụ tá"
"albeit ","conj","ɔlˈbiɪt ","mặc dù"
"alert ","v, n, adj","əˈlɜrt ","báo động"
"alien ","adj","ˈeɪliən ","người ngoài hành tinh"
"align ","v","əˈlaɪn ","căn chỉnh"
"alignment ","n","əˈlaɪnmənt ","liên kết"
